Broj,Kupac naziv,Adresa,Mjesto,OIB kupca,"Nadnevak
(datum izdavanja raèuna)",Datum predviðene isporuke,Vrijeme izrade,Dospijeæe plaæanja,Usluga ili proizvod,JM,Kolièina,Cijena,Rabat,Iznos,Usluga ili proizvod 2,JM 2,Kolièina 2,Cijena 2,Rabat 2,Iznos 2,Usluga ili proizvod 3,JM 3,Kolièina 3,Cijena 3,Rabat 3,Iznos 3,Usluga ili proizvod  4,JM 4,Kolièina 4,Cijena 4,Rabat 4,Iznos 4,Usluga ili proizvod 5,JM 5,Kolièina 5,Cijena 5,Rabat 5,Iznos 5,UKUPNO Iznos (1+5),Napomena,Napomena predujam,"Iznos naplaæen
  GOTOVINOM
","Iznos naplaæen 
VIRMANSKI
preko raèuna","Broj
-izvoda-uplatnice","Nadnevak
datum uplate",,,,,,,
primjer,Brzi i žestoki d.o.o.,Plava cesta 2,"100000, Zagreb",1234567891,1/1/2025/,1/1/2025/,12:00,8/1/2025/,Proizvod 1,kg,5, 100.00 € ,, 500.00 € ,Proizvod 2,kg,5, 100.00 € ,, 500.00 € ,Proizvod 3,kg,5, 100.00 € ,, 500.00 € ,Proizvod 4,kg,5, 100.00 € ,, 500.00 € ,Proizvod 5,kg,5, 100.00 € ,, 500.00 € ," 2,500.00 € ",Osloboðeno PDV-a temeljem èlanka 90. st. 2 Zakona o PDV-u,PRIMJER, -   € ," 2,500.00 € ",1,1/9/2025/,,,,,,,
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,,,,,,,
1-1-1,Sport Plus Osijek,Ivana Gunduliæa 62,"31000, Osijek",96557881558,1/1/2026,1/4/2026,20:00,1/15/2026, Usluga mjeseènog održavanja web aplikacije , kom ,1 , 106.18 € ,, 106.18 € , Usluga održavanja i backupa hrvatskog failover cloud poslužitelja , kom ,1 , 42.00 € ,, 42.00 € , Usluga mjeseènog održavanja web aplikacije , kom ,1 , 106.18 € ,, 106.18 € ," Usluga mjeseènog održavanja web aplikacije, statistika, èlanarine, raèuni, izveštaji ", kom ,2 , 106.18 € ,, 212.36 € ," Usluga održavanja, ažuriranja i backupa cloud poslužitelja ", kom ,1 , 46.45 € ,, 46.45 € , 513.17 € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
2-1-1,Auto Moto Klub Slavonac,Ivana Gunduliæa 24,"31000, Osijek",50240101934,1/1/2026,1/4/2026,20:00,1/15/2026, Usluga mjeseènog održavanja web stranice , kom ,1 , 100.00 € ,, 100.00 € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , 100.00 € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
3-1-1,Fitnes Centar Zagreb,Avenija Dubrovnik 15,"10000, Zagreb",80452155517,1/1/2026,1/4/2026,20:00,1/15/2026, Usluga mjeseènog održavanja web aplikacije , kom ,1 , 53.09 € ,, 53.09 € , Usluga održavanja i backupa hrvatskog failover cloud poslužitelja , kom ,1 , 42.00 € ,, 42.00 € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , 95.09 € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
4-1-1,Sport for life Osijek,Ivana Gunduliæa 62,"31000, Osijek",35042486125,1/1/2026,1/4/2026,20:00,1/15/2026, Usluga mjeseènog održavanja web aplikacije , kom ,1 , 106.18 € ,, 106.18 € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , 106.18 € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
5-1-1,Willdienstrad GmbH,Carl-Appelstrasse 5/2505,A-1100 Wien,ATU76825018,1/14/2026,1/14/2026,16:00,1/30/2026, Maintenance of application (20 hours) , kom ,1 ," 1,000.00 € ",," 1,000.00 € ",,,,,, 1.00 € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ," 1,001.00 € ",Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
6-1-1,Sport Plus Osijek,Ivana Gunduliæa 62,"31000, Osijek",96557881558,2/1/2026,2/1/2026,20:00,2/15/2026, Usluga mjeseènog održavanja web aplikacije , kom ,1 , 106.18 € ,, 106.18 € , Usluga održavanja i backupa hrvatskog failover cloud poslužitelja , kom ,1 , 42.00 € ,, 42.00 € , Usluga mjeseènog održavanja web aplikacije , kom ,1 , 106.18 € ,, 106.18 € ," Usluga mjeseènog održavanja web aplikacije, statistika, èlanarine, raèuni, izveštaji ", kom ,2 , 106.18 € ,, 212.36 € ," Usluga održavanja, ažuriranja i backupa cloud poslužitelja ", kom ,1 , 46.45 € ,, 46.45 € , 513.17 € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
7-1-1,Auto Moto Klub Slavonac,Ivana Gunduliæa 24,"31000, Osijek",50240101934,2/1/2026,2/1/2026,20:00,2/15/2026, Usluga mjeseènog održavanja web stranice , kom ,1 , 100.00 € ,, 100.00 € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , 100.00 € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
8-1-1,Fitnes Centar Zagreb,Avenija Dubrovnik 15,"10000, Zagreb",80452155517,2/1/2026,2/1/2026,20:00,2/15/2026, Usluga mjeseènog održavanja web aplikacije , kom ,1 , 53.09 € ,, 53.09 € , Usluga održavanja i backupa hrvatskog failover cloud poslužitelja , kom ,1 , 42.00 € ,, 42.00 € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , 95.09 € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
