Opæi podaci o obrtu:,,,,,,,
,,,,,,,
Naziv obrta:,"MD Solutions, obrt za raèunalne djelatnosti",,,,,,
Adresa obavljanja djelatnosti:,"Kardinala Franje Šepera 29, 31431 Èepin",,,,,,
Ime i prezime vlasnika:,Marina Kopèiæ,,,,,,
Oznaka operatera: ,"Kardinala Franje Šepera 29, 31431 Èepin",,,,,,
Adresa vlasnika:,"Kardinala Franje Šepera 29, 31431 Èepin",,,,,,
OIB:,86058362621,,,,,,
IBAN:,HR9023400091160578001,,,,,,
Banka:,Privredna Banka Zagreb d.d.,,,,,,
Naziv i vrsta djelatnost:,Raèunalno programiranje,,,,,,
,,,,,,,
Podaci za izradu raèuna,,,,,,,
,,,,,,,
"Šifranik za stupac 10
USLUGA ILI PROIZVOD",Usluga mjeseènog održavanja web stranice,,,,,,
,"Usluga mjeseènog održavanja web aplikacije, statistika, èlanarine, raèuni, izveštaji",,,,,,
,Usluga mjeseènog održavanja web aplikacije,,,,,,
,"Usluga održavanja mrežnih sustava, spremanje podataka te konfiguracija i održavanje poslužitelja",,,,,,
,"Usluga instalacije operativnih sustava i aplikacija, configuracija i održavanje aplikacija",,,,,,
,"Usluga održavanja raèunalna, raèunalne mreže, mrežne i Internet opreme",,,,,,
,"Usluge održavanja, konfiguracije, proširenja WIFI mreže, periferne mrežne opreme",,,,,,
,Usluga popravka raèunala i konfiguracije sustava,,,,,,
,"Usluga održavanja, konfiguriranja i backupa cloud poslužitelja",,,,,,
,"Usluga konfiguracije cloud poslužitelja,dns,emal",,,,,,
,"Usluga dizajna, izrade i smještaja web stranice",,,,,,
,Usluga mjeseènog održavanja web stranice,,,,,,
,Usluga mjeseènog održavanja web aplikacije,,,,,,
,"Usluga održavanja mrežnih sustava, spremanje podataka te konfiguracija i održavanje poslužitelja",,,,,,
,"Usluga instalacije operativnih sustava i aplikacija, configuracija i održavanje aplikacija",,,,,,
,"Usluga održavanja raèunalna, raèunalne mreže, mrežne i Internet opreme",,,,,,
,"Usluge održavanja, konfiguracije, proširenja WIFI mreže, periferne mrežne opreme",,,,,,
,Usluga popravka raèunala i konfiguracije sustava,,,,,,
,"Usluga održavanja, ažuriranja i backupa cloud poslužitelja",,,,,,
,"Usluga konfiguracije cloud poslužitelja,dns,emal",,,,,,
,"Usluga dizajna, izrade i smještaja web stranice",,,,,,
,"Usluge registracije,najma domene i hosting usluga",,,,,,
,"Usluga proširenja, optimizacije, održavanja i backup web aplikacije",,,,,,
,"Usluga udaljenog pristupa i tehnièke pomoæi, instalacija drivera za printere, te podešavanje istih",,,,,,
,"Usluga proširenja web aplikacije dodavanje novih znaèajki - paketi, euro, kune, datatables tablice",,,,,,
,Usluga proširenja i izmjene stavki web aplikacije - Poslovni PDF raèuni,,,,,,
,Usluga proširenja i izmjene stavki web aplikacije - Poslovni raèuni,,,,,,
,"Usluga proširenja web aplikacije proširenje postojeæih znaèajki - raèuni, paketi, èlanarine i dolasci",,,,,,
,Usluga proširenja i izmjene stavki web aplikacije - izmjena PaketController,,,,,,
,"Usluga proširenja i izmjene stavki web aplikacije - PDF, euro, raèun",,,,,,
,"Usluga proširenja i izmjene stavki web aplikacije - Poslovni raèuni, PDF, forma za unos, podaci ",,,,,,
,"Usluga održavanja cloud sustava, spremanje podataka te konfiguracija i održavanje poslužitelja",,,,,,
,Usluga instalacije i konfiguracije replikacije MYSQL baze podataka,,,,,,
,Usluga instalacije i konfiguracije HTTP2 i SSL web servera ,,,,,,
,Usluga konfiguracije i održavanja Cloudflare DNS i NS poslužitelja,,,,,,
,Usluga održavanja i backupa hrvatskog failover cloud poslužitelja,,,,,,
,Usluga instalacije i konfiguracije hrvatskog failover cloud poslužitelja,,,,,,
,"Instalacija Wordpressa i konfiguracija WP dodataka (GDPR, SEO, Google analytics, Cache plugin).",,,,,,
,"Postavljanje Woocommerca(dostave, naèina plaæanja i slièno)",,,,,,
,Integracija Corvus Pay-a,,,,,,
,"Izrada dizajna, strukture te izbornika web stranice.",,,,,,
,Dodavanje dodatnih podstranica po zahtjevu.,,,,,,
,"Postavljanje Blog stranice(Arhiva blog objava, kategorija i oznaka)",,,,,,
,"Postavljanje podstranica za web trgovinu(stranica proizvoda, lista proizvoda, košarica, blagajna i slièno)",,,,,,
,"Povezivanje  web stranice sa alatima treæe strane(Google Analytics, Google tag manager, Google Search console, Litespeed cache i slièno)",,,,,,
,Završna optimizacija ukupnog sadržaja i funkcionalnosti.,,,,,,
,"Profesionalni programi za Wordpress: Elementor Pro, Envato elements.",,,,,,
,Video upute za dodavanje proizvoda i upravljanja trgovinom.,,,,,,
,Cloud Server Selection and Licensing,,,,,,
,Dedicated Server Setup,,,,,,
,Server Role Configuration,,,,,,
,IIS Installation and Configuration,,,,,,
,DNS and Nameserver Configuration,,,,,,
,SQL Server Installation and Database Setup,,,,,,
,Firewall and Network Security Configuration,,,,,,
,System Testing and Verification,,,,,,
,SSL Certificate Installation,,,,,,
,#######################,,,,,,
,Hetzner Dedicated Server Licenses,,,,,,
,Windows Server Standard Licences,,,,,,
,Hetzner Cloud Server Licenses,,,,,,
,Cloud server and application maintenace,,,,,,
,Godišnji najam fitness aplikacije,,,,,,
,Mjeseèni najam fitness aplikacije,,,,,,
,GoDaddy domain services,,,,,,
,Cloud application maintenance and security updates,,,,,,
,Database optimization,,,,,,
,Tehnical support and minor fixes,,,,,,
,Performance and security monitor,,,,,,
,Security updates,,,,,,
,"Migraija na novi poslužitelj, DNS i NS zapisi",,,,,,
,E-mail backups and migration,,,,,,
